Name,Chapter,Count,Description,No,Yes
Toolset For Peace,4,962,THIS!! (QR) Points to develop,Yes,No
Your Own Paradigm of Existence,1,"5,262",,No,Yes
What we think we are and we are not,1.1,56,,Yes,No
Your Truth is your life,1.1,8,,Yes,No
The Meaning of Consciousness in You,1.3,50,paradigm of existence,Yes,No
Multidimensional Life,1.1,49,,Yes,No
Reclaiming Truth of you as a Child,2.1,12,,Yes,No
Being,1.2,10,,Yes,No
Detachment,1.1,303,Good points to develop,Yes,No
Energetic Awareness & Your Body,6,40,,Yes,No
Bending & Desolidifying Reality,2.1,465,,No,Yes
You Are Magic,2.1,7,,Yes,No
The Importance Of Intention Setting,4.1,56,,No,No
Collective Consciousness,2,602,,No,Yes
Channelling,5,611,,No,Yes
Omnipresence,2,173,To expand,No,Yes
Blocks to Love,3,"1,384",,No,Yes
Introduction,0.9,523,,Yes,No
Table Of Contents,0.7,42,,Yes,No
Acknowledgements,0.3,9,,Yes,No
