Name,Description,theme,Use
"My Way ",The path/ the offering,educational/Trustbuilder,Post
"My offering to energy workers ",the offering,"niche ","post "
What I do For people,"Benefits ","promotional ",post/ slide
Your Own Paradigm of Existence,,,
" Collective Consciousness",Questions,,
" Omnipresence",TO EXPAND,,
Bending & Desolidifying Reality,,,
" Blocks to Love",,,
" Channelling",,,
Ending of 2020,Life experience,,
" The Awakening Time","Life experience ",,
Non-settling,Philosophy,,
Being reborn into love,Life experience,,
Coming out of disappearance,"life experience ",,
" Kambo",life experience,,
Guitar post,Philosophy,,
Short says,slides,,
"Quantum ",,,
