Idea,Priority,Category,AI summary,Upvote,Total votes,Upvoted by
Holistic Practitioner Swap App,,,,,0,
"Use Credit score for an exchange app (services, offerings, goods, etc)",,,,,0,
Bufo website platform,,,,,0,
Course 101 Training,,,,,0,
Write an autobiography so people know your past,,,,,0,
Simple website for me for my coaching,,,,,0,
Holistic Engineer & Website build support for holistic practitioners and other engineering jobs website,,,,,0,
Make an oracle deck,,,,,0,
"AI Magazine (fun stories, made up)",,,,,0,
"Fake Design Studio (or studio design, working out problems, creating proposals, solutions)",,,,,0,
Land NFT Collective,,,,,0,
"Collective group membership (membership, monthly, group, healing)",,,,,0,
Collective (support / group),,,,,0,
Website magazine blog,,,,,0,
Medium writer blogger,,,,,0,
web page portal,,,,,0,
ai astrology and coaching support platform,,,,,0,
my personal website,,,,,0,
group coaching,,,,,0,
music,,,,,0,
"book of ",,,,,0,
"app for support system (training, daily insights, meditations, AI, etc)",,,,,0,
"AI engineer (MML, machine learning, programming, stable diffusion, local development, llama, etc)",,,,,0,
Book of music (modern medicine songs),,,,,0,
Book of AI songs music children kids books etc,,,,,0,
Catalan AI pamphlet with basic transformation,,,,,0,
AI integration 101 healing manual for all - translated to languages,,,,,0,
Healing relationship with my body,,,,,0,
Define areas of business (work),,,,,0,
"AI instagram (make up images, AI text, AI content, AI made up content videos, voice, avatar, etc, ai magazine ideas, creative, studio projects, etc)",,,,,0,
Build a social media platform,,,,,0,
public interface,,,,,0,
http://circle.so for course?,,,,,0,
whatsapp group chat / telegram / signal / main,,,,,0,
