Name,Related To-do
Bufo,
Recording,"Crafting / Creation (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Crafting%20Creation%20841a655f28a6451186abd6d474341f95.md), Celebrate (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Celebrate%204f35c24a7aaf47bca8b501e23b45d29d.md)"
Priority Setting,"Projects (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Projects%20e3fce9879fb74d00823bd24dc8f978e9.md), Daily Integration (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Daily%20Integration%206e3829677bf34fbbb1eca67a79b006e5.md)"
Energy Healing,Healing Swaps / Collaborations (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Healing%20Swaps%20Collaborations%208a42dd1736cf465987709705558771e8.md)
Meditation Exercise,Journal Exercises (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Journal%20Exercises%2013015cb869c0452b9c0d39f46526c639.md)
Writing Projects,Journal Exercises (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Journal%20Exercises%2013015cb869c0452b9c0d39f46526c639.md)
Healing Swaps / Collaborations,Energy Healing (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Energy%20Healing%2024902d7b09d24425944cc2a8060034cb.md)
Projects,"Priority Setting (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Priority%20Setting%207cc6427a426a4551ba4eec367d80d83e.md), Routine / Intention (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Routine%20Intention%205ba1307471ba4b4dbef11d1bea3bac52.md), Daily Integration (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Daily%20Integration%206e3829677bf34fbbb1eca67a79b006e5.md)"
Routine / Intention,"Projects (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Projects%20e3fce9879fb74d00823bd24dc8f978e9.md), Daily Integration (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Daily%20Integration%206e3829677bf34fbbb1eca67a79b006e5.md)"
Daily Integration,"Projects (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Projects%20e3fce9879fb74d00823bd24dc8f978e9.md), Priority Setting (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Priority%20Setting%207cc6427a426a4551ba4eec367d80d83e.md), Routine / Intention (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Routine%20Intention%205ba1307471ba4b4dbef11d1bea3bac52.md)"
Crafting / Creation,"Recording (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Recording%20175f5038adfd416ea4177ba76f492460.md), Celebrate (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Celebrate%204f35c24a7aaf47bca8b501e23b45d29d.md)"
Celebrate,"Crafting / Creation (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Crafting%20Creation%20841a655f28a6451186abd6d474341f95.md), Recording (Brain%20Dump%20(Tactical)%20bd4ab1b68ac542279c980b3daf8d3dde/To-do%201e7dfbbabe2541b4b46ae9eee8ead6eb/Recording%20175f5038adfd416ea4177ba76f492460.md)"
