Name,Hosts,Type,Priority,Paid,Plan
Course Example,,,0,,
Regular Meditations,"Jee Ka, Nina Moore","Main, Regular Events",1,,
Consciousness Talks,"Jee Ka, Nina Moore",,1,,
Group Clearings (Live Transmissions),Jee Ka,"Circle, Regular Events",1,Yes,The Awakening Path (Academy%20Plans%208a6af4d2546e4519b0aa3e8dd2a9de07/The%20Awakening%20Path%20038b9996a3634498b97831150217bb96.csv)
Kundalini Yoga & Meditations,Nina Moore,"Circle, Regular Events",1,Yes,The Awakening Path (Academy%20Plans%208a6af4d2546e4519b0aa3e8dd2a9de07/The%20Awakening%20Path%20038b9996a3634498b97831150217bb96.csv)
"Synchronicity // Living in flow ","Jee Ka, Nina Moore",Course,2,Yes,
Create Your Reality - Watch Your Language,Jee Ka,Course,2,Yes,The Awakening Path (Academy%20Plans%208a6af4d2546e4519b0aa3e8dd2a9de07/The%20Awakening%20Path%20038b9996a3634498b97831150217bb96.csv)
"Crystal Meditations ",Nina Moore,"Circle, Main, Regular Events",2,,
Woman's Circle,Nina Moore,,2,Yes,
"Creating Abundance // Actualizing your Reality ","Jee Ka, Nina Moore",Course,3,Yes,
Relationships // Manifesting your ideal Partner // Harmonious connection,"Jee Ka, Nina Moore",Course,3,Yes,
Integrating Psychedelic Experience,"Jee Ka, Nina Moore",Course,3,Yes,
Live Channelling with Jee Ka,Jee Ka,"Circle, Main",3,No,
Men's Circle,Jee Ka,"Circle, Course",3,Yes,
Falling in love with the body // Touch and movement,Nina Moore,Course,3,Yes,
"For Artists and Creatives // Creativity and Spirituality ",Nina Moore,Course,3,Yes,
Meeting Your Spirit Guide,"Jee Ka, Nina Moore",,,,
Masterclass on Awakening and Tuning to the Higher Dimensions,Jee Ka,,,12€,
Opening Psychic Abilities,"Jee Ka, Nina Moore",Course,,,
