Name,Related to Weekly Plan (Column),Type
"Daily Abundance Exercises - writing, affirmations, meditations",,exercise
Reaching out to network to share who we are and see if it's a match,Networking Online (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Networking%20Online%20424981f0f7c64c83af694272083e1f4b.md),social
The Right riches audio book,Study Time (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Study%20Time%2094a9b11e5e834afe952baab26b4addb0.md),study
Creating content for Social Media for people to get familiar with us and what we have to offer,Social Media (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Social%20Media%206f0985ebd8c146f4a394a6c6cefe3099.md),content
Organise online events that our network can share with others - free or paid,Developing Webinars (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Developing%20Webinars%20cf2f55b6dd4143598adf4d27945a979d.md),content
Creating connections by going to places & events to meet people who may be interested in our work,Networking in Person (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Networking%20in%20Person%206b57849b8a124b18b616aeedcc8cec08.md),social
Completing Lessons Launch and Grow Buisness,,study
Communication and Advertising of The Crystal Activation Immersion,Define & Prepare Crystal Clearings Immersion (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Define%20&%20Prepare%20Crystal%20Clearings%20Immersion%20b4a7c1dce799443792259574f4c649f5.md),"marketing, social"
Recording MP3 of meditations,Creating Content for Recordings (Weekly%20Plan%20b6db458204d946c2b6a643e6a8a8cbb4/Weekly%20Plan%207a2d3f4b1cfa44fa85babaf76e7380c9/Creating%20Content%20for%20Recordings%2027ddba1acd554c0bbaf75c8c722b47bc.md),content
