Name,Related to Weekly Plan (Academy Task)
Creating a Welcome pack of articles / help / move around community,
Set Up & Connect Stripe Account,
Creating Topics for Community,
Creating the Community Identity / Vision / Mission / Why / Who we are,
Consider Fb Group & Instagram,
Defining Structure and Material for each Course,
Create Social Media Content for attracting people,
Create Member Categories,
Create Ambassador Referral Program,
Defining and scheduling recurrent free events,
Record Introduction Videos,
Creating Paid plans and bundles for selling courses,
Advertise the Community,
Study other Communities,
Record Videos for Courses,
