Name,Created time,Progress,Progress statement,Total,⏰ Get up early,✍🏻 Journal,🏃🏻 Workout,📃 Reading,📈 Focused Work,🙏🏻 Gratitude & Self Love,🚶🏻‍♀️ Walking,🧘 Meditation,🧘🏻 Movement Practice,🪥 Floss
"@December 5, 2023","December 5, 2023 5:21 PM",6,4 more to go,6,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
"@December 6, 2023","December 6, 2023 2:15 AM",5,5 more to go,5,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
"@December 7, 2023","December 7, 2023 4:36 AM",2,8 more to go,2,No,No,No,Yes,No,Yes,No,No,No,No
"@December 8, 2023","December 8, 2023 4:28 AM",2,8 more to go,2,No,No,No,No,Yes,Yes,No,No,No,No
"@December 9, 2023","December 9, 2023 3:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 10, 2023","December 10, 2023 4:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 11, 2023","December 11, 2023 2:20 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 12, 2023","December 12, 2023 2:35 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 13, 2023","December 13, 2023 3:22 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 14, 2023","December 14, 2023 3:29 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 15, 2023","December 15, 2023 4:38 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 16, 2023","December 16, 2023 4:05 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 17, 2023","December 17, 2023 2:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 18, 2023","December 18, 2023 4:51 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 19, 2023","December 19, 2023 3:03 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 20, 2023","December 20, 2023 3:33 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 21, 2023","December 21, 2023 4:25 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 22, 2023","December 22, 2023 3:37 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 23, 2023","December 23, 2023 2:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 24, 2023","December 24, 2023 2:36 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 25, 2023","December 25, 2023 2:54 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 26, 2023","December 26, 2023 4:52 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 27, 2023","December 27, 2023 2:44 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 28, 2023","December 28, 2023 2:11 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 29, 2023","December 29, 2023 4:10 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 30, 2023","December 30, 2023 2:40 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 31, 2023","December 31, 2023 4:54 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 1, 2024","January 1, 2024 3:44 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 2, 2024","January 2, 2024 4:36 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 3, 2024","January 3, 2024 3:56 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 4, 2024","January 4, 2024 3:25 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 5, 2024","January 5, 2024 2:32 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 6, 2024","January 6, 2024 4:34 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 7, 2024","January 7, 2024 2:42 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 8, 2024","January 8, 2024 4:31 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 9, 2024","January 9, 2024 4:11 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 10, 2024","January 10, 2024 2:34 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 11, 2024","January 11, 2024 2:42 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 12, 2024","January 12, 2024 4:34 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 13, 2024","January 13, 2024 3:56 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 14, 2024","January 14, 2024 2:35 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 15, 2024","January 15, 2024 4:25 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 16, 2024","January 16, 2024 2:37 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 17, 2024","January 17, 2024 3:48 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 18, 2024","January 18, 2024 3:37 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 19, 2024","January 19, 2024 4:00 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 20, 2024","January 20, 2024 2:14 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 21, 2024","January 21, 2024 4:27 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 22, 2024","January 22, 2024 3:59 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 23, 2024","January 23, 2024 3:26 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 24, 2024","January 24, 2024 4:02 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 25, 2024","January 25, 2024 3:31 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 26, 2024","January 26, 2024 3:30 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 27, 2024","January 27, 2024 4:16 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 28, 2024","January 28, 2024 2:52 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 29, 2024","January 29, 2024 2:58 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 30, 2024","January 30, 2024 4:33 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 31, 2024","January 31, 2024 3:54 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 1, 2024","February 1, 2024 2:57 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 2, 2024","February 2, 2024 2:31 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 3, 2024","February 3, 2024 3:06 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 4, 2024","February 4, 2024 4:08 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 5, 2024","February 5, 2024 4:56 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 6, 2024","February 6, 2024 2:05 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 7, 2024","February 7, 2024 2:43 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 8, 2024","February 8, 2024 4:51 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 9, 2024","February 9, 2024 2:33 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 10, 2024","February 10, 2024 2:01 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 11, 2024","February 11, 2024 2:41 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 12, 2024","February 12, 2024 3:47 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 13, 2024","February 13, 2024 3:29 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 14, 2024","February 14, 2024 4:19 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 15, 2024","February 15, 2024 2:20 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 16, 2024","February 16, 2024 4:21 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 17, 2024","February 17, 2024 3:46 AM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
