Name,Column,Description,No,Word Count,Yes
What I shine speaking about,"September 26, 2021 4:13 AM",(Good points to develop),Yes,150,No
"My Quantum Offering  ","September 27, 2021 3:42 AM",,Yes,548,No
"My offering to energy workers ","September 27, 2021 7:46 AM",,No,70,Yes
Offering,"September 28, 2021 4:02 AM",,Yes,223,No
Web partials,"September 29, 2021 1:25 AM",,Yes,,No
"Quantum ","September 29, 2021 9:31 AM",,No,201,Yes
Short says,"October 21, 2021 4:03 AM",,No,1265,Yes
What I do For people,"October 21, 2021 2:52 PM",(Good points to develop),No,122,Yes
Nina convo,"October 21, 2021 4:10 PM",,No,,No
An Exchange of Presence,"October 31, 2021 10:01 AM",QUANTUM REBIRTH,Yes,1878,No
Pricing & Payment Options,"November 1, 2021 12:05 PM",pricing & payment options,No,,No
Potential Clients,"November 1, 2021 12:39 PM",for Ally,No,,No
Lloyd,"November 1, 2021 12:48 PM",,No,,No
My Offer to You,"November 1, 2021 1:56 PM",my new offering message,No,2636,Yes
Sharin Website,"November 10, 2021 11:42 PM",,Yes,,No
Practitioner Training,"November 13, 2021 7:43 AM",min info to embody transformation practice (QR),Yes,1269,No
Relationships Shadow Work Program,"November 15, 2021 7:12 AM",QUANTUM REBIRTH,Yes,1243,No
The 6 blocks to flow,"November 15, 2021 7:52 AM",(Good points to develop),No,223,Yes
Nora's strategy,"November 15, 2021 2:47 PM",,No,,No
DAO conversation with Jesus,"November 17, 2021 3:46 PM",,No,,No
My Gift,"November 20, 2021 6:30 AM",,No,,No
Coralie,"November 22, 2021 6:12 AM",,No,,No
"My Way ","November 23, 2021 6:05 AM",Basis of the Syllabus,No,,Yes
Self Liberation Training,"December 1, 2021 2:06 AM",,No,,No
Exploration with Jee Ka,"December 1, 2021 5:11 AM",,No,,No
Blue Vany Chat,"December 26, 2021 1:50 PM",,No,,No
