Name,Description,Use,theme
"My offering to energy workers ",the offering,"post ","niche "
"Quantum ",,,
Short says,slides,,
What I do For people,"Benefits ",post/ slide,"promotional "
Your Own Paradigm of Existence,,,
" Collective Consciousness",Questions,,
" Omnipresence",TO EXPAND,,
Bending & Desolidifying Reality,,,
" Blocks to Love",,,
" Channelling",,,
Ending of 2020,Life experience,,
" The Awakening Time","Life experience ",,
Non-settling,Philosophy,,
Being reborn into love,Life experience,,
Coming out of disappearance,"life experience ",,
" Kambo",life experience,,
Guitar post,Philosophy,,
"My Way ",The path/ the offering,Post,educational/Trustbuilder
