Idea,AI summary,Category,Created by,Priority,Total votes,Upvote,Upvoted by
Holistic Practitioner Swap App,,,Astral,,0,,
"Use Credit score for an exchange app (services, offerings, goods, etc)",,,Astral,,0,,
Bufo website platform,,,Astral,,0,,
Course 101 Training,,,Astral,,0,,
Write an autobiography so people know your past,,,Astral,,0,,
Simple website for me for my coaching,,,Astral,,0,,
Holistic Engineer & Website build support for holistic practitioners and other engineering jobs website,,,Astral,,0,,
Make an oracle deck,,,Astral,,0,,
"AI Magazine (fun stories, made up)",,,Astral,,0,,
"Fake Design Studio (or studio design, working out problems, creating proposals, solutions)",,,Astral,,0,,
Land NFT Collective,,,Astral,,0,,
"Collective group membership (membership, monthly, group, healing)",,,Astral,,0,,
Collective (support / group),,,Astral,,0,,
Website magazine blog,,,Astral,,0,,
Medium writer blogger,,,Astral,,0,,
web page portal,,,Astral,,0,,
ai astrology and coaching support platform,,,Astral,,0,,
my personal website,,,Astral,,0,,
group coaching,,,Astral,,0,,
music,,,Astral,,0,,
"book of ",,,Astral,,0,,
"app for support system (training, daily insights, meditations, AI, etc)",,,Astral,,0,,
"AI engineer (MML, machine learning, programming, stable diffusion, local development, llama, etc)",,,Astral,,0,,
Book of music (modern medicine songs),,,Astral,,0,,
Book of AI songs music children kids books etc,,,Astral,,0,,
Catalan AI pamphlet with basic transformation,,,Astral,,0,,
AI integration 101 healing manual for all - translated to languages,,,Astral,,0,,
Healing relationship with my body,,,Astral,,0,,
Define areas of business (work),,,Astral,,0,,
"AI instagram (make up images, AI text, AI content, AI made up content videos, voice, avatar, etc, ai magazine ideas, creative, studio projects, etc)",,,Astral,,0,,
Build a social media platform,,,Astral,,0,,
public interface,,,Astral,,0,,
http://circle.so for course?,,,Astral,,0,,
whatsapp group chat / telegram / signal / main,,,Astral,,0,,
