Task name,Status,Assignee,Due,Sprint
1 Page Business Plan,Not started,,,
Promote Inner Ascend on Facebook Groups,Not started,,,
Design Flyer for Inner Ascend Promotion,Not started,,,
Develop Marketing Funnels for New Initiatives,Not started,,,
Crowdfunding Initiatives,Not started,,,
Creative Agency & Mastermind Concept Membership,Not started,,,
Team Roles,Not started,,,
Notion Re-Organisation,Not started,,,
Develop Target Audience to the point of seeing who is this for and Why,Not started,,,
External Collaboration with other practitioners to offer events at Inner Ascend and bring their clients,Not started,,,
Training Sections & Parts,Not started,,,
Trainee Support System (& what is the Mobile App For),Not started,,,
Collective Manifest,Not started,,,
Facebook & Instagram Ads,Not started,,,
Define our Instagram Look in words,Not started,,,
Strategic Initiatives,Not started,,,
Write project proposal,Done,Astral,"April 22, 2024",Sprint 1 (Sprints%2057ebae045bba41a79cbb84bf7e2badb9/Sprint%201%20a09f0b1b08e74155902a78f74c15e156.csv)
Invite team members,Not started,Astral,"May 13, 2024",Sprint 3 (Sprints%2057ebae045bba41a79cbb84bf7e2badb9/Sprint%203%20789a50dc5ee4481d9018724d9371d2a6.csv)
