Project name,Blocked By,Completion,Dates,Is Blocking,Owner,Priority,Status,Summary,Tasks
Website Launch,,0.35294117647058826,"March 1, 2024",,"Astral, Nina Moore",,In progress,No content,"Courses Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Courses%20Page%20963806f607614383b17ebb3757e4d3e3.csv), Membership Area Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Membership%20Area%20Page%20eac7c0b8e1f243af874364aa08e9f6db.csv), Events Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Events%20Page%203c54d5e03e414165a60eb74df89f6fe3.csv), About Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/About%20Page%20ef93ac05a7984a01b1f91b69cb063e06.csv), Individual Team Pages (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Individual%20Team%20Pages%20299fc6395b5a44a2bbfd1755c78e0b9d.csv), Programs Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Programs%20Page%20a7572186e3874adbb57e867d42d48744.csv), Training Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Training%20Page%207f581a5d780d411280c013555ae97b76.csv), Home Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Home%20Page%2096628bcf794f43ec8953bdd3cd17ea48.csv), Membership Page (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Membership%20Page%208320add8c0954e91b9107faa982a2786.csv), Event Coordination (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Event%20Coordination%203e9eb5747b864ed8852459a54be25ebe.csv), Topics (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Topics%207308885252c944c8bf9da1039eec14b0.csv), Finish event descriptions (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Finish%20event%20descriptions%20beb9e82309c64135b9964619927b6567.csv), Subscribe naming & content (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Subscribe%20naming%20&%20content%207a65c9075e8f40e3a2253e37c1d5b8a6.csv), Images for all programs (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Images%20for%20all%20programs%2030cde69d71014b3585de20d31d562b60.csv), Images for all 1:1 (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Images%20for%20all%201%201%20ad6545dae6c44fdfacd7f4a6a1dc39bb.csv), Natasha (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Natasha%203e8ea6b01b2a449da12aa4f8c61267ec.csv), Website Pages (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Website%20Pages%20b4b66307126040bf99fdabe48ec45036.csv)"
Inner Ascend Launch,,0.25,"April 1, 2024",,"Astral, Nina Moore",,In progress,No content,"Facebook Ad & Instagram Campaign (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Facebook%20Ad%20&%20Instagram%20Campaign%20360ed92b6a98497f84d8e532750ba3a1.csv), Event Schedule (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Event%20Schedule%201e3c404492f84cf4a98eceb36ed26cd5.csv), terms & conditions for 1:1 and programs, membership, courses, training (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/terms%20&%20conditions%20for%201%201%20and%20programs,%20membershi%201ccbdeaa4af14074bc3477165a1cc808.csv), Members enrollment  (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Members%20enrollment%20458b4980fc8446d891b7f17a428893c6.csv)"
Crowdfunding,,0,,,,,Planning,No content,"Make appealing documentation (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Make%20appealing%20documentation%204e6c0267984146abafc9af9c9bd323a8.csv), Decide tiers & what to do with money (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Decide%20tiers%20&%20what%20to%20do%20with%20money%20c4e0f868088c454f805791bf3cadd077.csv)"
Business Strategy & Overview Creation,,0.5,,,,,Planning,No content,"Move to Official Stripe (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Move%20to%20Official%20Stripe%20e758c188ee9d4365a1b1aff0e30b0bc7.csv), Create Wise Bank Account (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Create%20Wise%20Bank%20Account%20439a94f0f55f4b7cb31b716793ae356e.csv), Register Official Company / Cooperative (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Register%20Official%20Company%20Cooperative%2048331a1a9116474684d4be47f213a3ac.csv), Create 1 Page Business Plan (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Create%201%20Page%20Business%20Plan%20eb07133a27864e149526891cb94f0b41.csv)"
Internal Processes,,0.2,,,,,Planning,No content,"Centralise note taking & storing documents in view mode (leaving gdocs) (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Centralise%20note%20taking%20&%20storing%20documents%20in%20view%20144318db29a34590a085b31fdc9f31e9.csv), Decision Internal Communications Channel  (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Decision%20Internal%20Communications%20Channel%200e814ba0b713412fa5fa047ff2ac2abc.csv), Team Contracts (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Team%20Contracts%2031a6dc2ac2094adea765ff68b41f6d21.csv), Finantial Projections (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Finantial%20Projections%20a68deeecaf0f4fb084c3b597b66780a7.csv), Email Process Miro  (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Email%20Process%20Miro%20bee30d0eb9a147688a3dbe3a789a8cd6.csv)"
Training Finalization,,,,,,,Planning,No content,
Workshop Set Up,,0,,,,,Planning,No content,Internal Workshop Guide (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Internal%20Workshop%20Guide%20d5dc1c2c06d845afba73f6474c84d1f9.csv)
Membership Set Up,,,,,,,In progress,No content,
Marketing Strategy,,0.1111111111111111,,,,,Planning,No content,"Design Workshop Template (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Design%20Workshop%20Template%2070cc666d1e7e4ef4a56c045447b4598a.csv), Design Schedule Template (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Design%20Schedule%20Template%20be228ac5a9e84dce88b39d336ef1e268.csv), Competitor Inspiration (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Competitor%20Inspiration%2080823325b8c9468eae0a26c414baf8be.csv), Demand Research / Polls (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Demand%20Research%20Polls%207c29d187aa534561860a44c64d0917a8.csv), Funnel/Freebie Brainstorm (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Funnel%20Freebie%20Brainstorm%2072a8a1d390444d9b989690425b708be2.csv), Key word research (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Key%20word%20research%20401807abb0334ff8be5c2a5a96d7f7a7.csv), Email Scripts (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Email%20Scripts%20d4096e925af04258967d827b61e62085.csv), Promotional pop up? why? for what? offers? subscription? (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Promotional%20pop%20up%20why%20for%20what%20offers%20subscriptio%202402a3129e8d47109bf55b0603f0645e.csv), Use of top banner (Inner%20Ascend%20Tasks%205d73da8fd0dd4a92a5c80fb14644109b/Use%20of%20top%20banner%207e65197e8b7947d582fefe78088a8357.csv)"
Create User Experience,,,,,,,Backlog,No content,
