Name,Created time,Progress,Progress statement,Total,⏰ Get up early,✍🏻 Journal,🏃🏻 Workout,📃 Reading,📈 Focused Work,🙏🏻 Gratitude & Self Love,🚶🏻‍♀️ Walking,🧘 Meditation,🧘🏻 Movement Practice,🪥 Floss
"@December 5, 2023","December 5, 2023 5:17 PM",1,9 more to go,1,No,No,No,No,No,No,No,Yes,No,No
"@December 5, 2023","December 5, 2023 5:26 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 6, 2023","December 5, 2023 7:45 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 7, 2023","December 6, 2023 6:39 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 8, 2023","December 7, 2023 8:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 9, 2023","December 8, 2023 8:46 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 10, 2023","December 9, 2023 8:16 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 11, 2023","December 10, 2023 7:19 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 12, 2023","December 11, 2023 8:22 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 13, 2023","December 12, 2023 6:35 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 14, 2023","December 13, 2023 6:26 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 15, 2023","December 14, 2023 6:24 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 16, 2023","December 15, 2023 6:54 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 17, 2023","December 16, 2023 7:20 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 18, 2023","December 17, 2023 8:20 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 19, 2023","December 18, 2023 7:38 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 20, 2023","December 19, 2023 7:34 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 21, 2023","December 20, 2023 8:52 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 22, 2023","December 21, 2023 8:24 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 23, 2023","December 22, 2023 6:18 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 24, 2023","December 23, 2023 7:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 25, 2023","December 24, 2023 7:25 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 26, 2023","December 25, 2023 8:33 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 27, 2023","December 26, 2023 6:17 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 28, 2023","December 27, 2023 7:49 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 29, 2023","December 28, 2023 8:22 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 30, 2023","December 29, 2023 8:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@December 31, 2023","December 30, 2023 6:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 1, 2024","December 31, 2023 6:28 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 2, 2024","January 1, 2024 8:47 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 3, 2024","January 2, 2024 8:35 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 4, 2024","January 3, 2024 6:16 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 5, 2024","January 4, 2024 6:55 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 6, 2024","January 5, 2024 7:46 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 7, 2024","January 6, 2024 6:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 8, 2024","January 7, 2024 8:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 9, 2024","January 8, 2024 7:59 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 10, 2024","January 9, 2024 6:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 11, 2024","January 10, 2024 7:59 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 12, 2024","January 11, 2024 6:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 13, 2024","January 12, 2024 8:53 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 14, 2024","January 13, 2024 6:27 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 15, 2024","January 14, 2024 6:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 16, 2024","January 15, 2024 6:36 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 17, 2024","January 16, 2024 6:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 18, 2024","January 17, 2024 6:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 19, 2024","January 18, 2024 8:39 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 20, 2024","January 19, 2024 6:37 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 21, 2024","January 20, 2024 6:21 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 22, 2024","January 21, 2024 6:34 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 23, 2024","January 22, 2024 8:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 24, 2024","January 23, 2024 7:25 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 25, 2024","January 24, 2024 8:50 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 26, 2024","January 25, 2024 7:49 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 27, 2024","January 26, 2024 6:54 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 28, 2024","January 27, 2024 8:49 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 29, 2024","January 28, 2024 6:16 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 30, 2024","January 29, 2024 7:27 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@January 31, 2024","January 30, 2024 6:48 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 1, 2024","January 31, 2024 6:23 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 2, 2024","February 1, 2024 8:29 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 3, 2024","February 2, 2024 7:59 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 4, 2024","February 3, 2024 7:36 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 5, 2024","February 4, 2024 7:28 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 6, 2024","February 5, 2024 8:05 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 7, 2024","February 6, 2024 8:22 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 8, 2024","February 7, 2024 8:22 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 9, 2024","February 8, 2024 7:41 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 10, 2024","February 9, 2024 8:12 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 11, 2024","February 10, 2024 8:34 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 12, 2024","February 11, 2024 7:58 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 13, 2024","February 12, 2024 7:43 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 14, 2024","February 13, 2024 7:46 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 15, 2024","February 14, 2024 8:16 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 16, 2024","February 15, 2024 6:24 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 17, 2024","February 16, 2024 6:18 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 18, 2024","February 17, 2024 8:29 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 19, 2024","February 18, 2024 7:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 20, 2024","February 19, 2024 8:30 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 21, 2024","February 20, 2024 8:58 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 22, 2024","February 21, 2024 6:55 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 23, 2024","February 22, 2024 8:42 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 24, 2024","February 23, 2024 6:07 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 25, 2024","February 24, 2024 6:30 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 26, 2024","February 25, 2024 7:28 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 27, 2024","February 26, 2024 8:42 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 28, 2024","February 27, 2024 6:24 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@February 29, 2024","February 28, 2024 8:49 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 1, 2024","February 29, 2024 6:42 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 2, 2024","March 1, 2024 7:39 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 3, 2024","March 2, 2024 7:25 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 4, 2024","March 3, 2024 6:38 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 5, 2024","March 4, 2024 7:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 6, 2024","March 5, 2024 6:25 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 7, 2024","March 6, 2024 6:33 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 8, 2024","March 7, 2024 8:30 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 9, 2024","March 8, 2024 7:33 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 10, 2024","March 9, 2024 8:40 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 11, 2024","March 10, 2024 7:13 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 12, 2024","March 11, 2024 6:40 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 13, 2024","March 12, 2024 8:09 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 14, 2024","March 13, 2024 7:17 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 15, 2024","March 14, 2024 8:18 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 16, 2024","March 15, 2024 8:58 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 17, 2024","March 16, 2024 6:17 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 18, 2024","March 17, 2024 6:53 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 19, 2024","March 18, 2024 6:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 20, 2024","March 19, 2024 6:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 21, 2024","March 20, 2024 6:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 22, 2024","March 21, 2024 6:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@March 23, 2024","March 22, 2024 6:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 12, 2025","April 11, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 13, 2025","April 12, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 14, 2025","April 13, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 15, 2025","April 14, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 16, 2025","April 15, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 17, 2025","April 16, 2025 5:00 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 18, 2025","April 17, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 19, 2025","April 18, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 20, 2025","April 19, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 21, 2025","April 20, 2025 5:01 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 22, 2025","April 21, 2025 5:04 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 23, 2025","April 22, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 24, 2025","April 23, 2025 5:08 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 25, 2025","April 24, 2025 5:11 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 26, 2025","April 25, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 27, 2025","April 26, 2025 5:10 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 28, 2025","April 27, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 29, 2025","April 28, 2025 5:06 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@April 30, 2025","April 29, 2025 5:02 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
"@May 1, 2025","April 30, 2025 5:03 PM",0,10 more to go,0,No,No,No,No,No,No,No,No,No,No
