Post Title,Format,Status,Date,Media Ready?,Posted?,Theme,Caption,Link,Engagement Notes,Hashtags,Repurpose?
The Moment After the Medicine,,Draft,,No,No,Bufo,,,,,
When You’re the First in Your Lineage to Stop Performing,,Draft,,No,No,,,,,,
The real work is staying soft after you’ve seen everything. (1),,Idea,,No,No,,,,,,
After the light comes the quiet (1),,Idea,,No,No,,,,,,
,,Idea,,No,No,,,,,,
Love That Doesn’t Need to Fix You & 2 Others (1),,Idea,,No,No,,,,,,
,,Idea,,No,No,,,,,,
,,Idea,,No,No,,,,,,
You’re not broken. (1),,Idea,,No,No,,,,,,
The clock was never about time. (1),Carousel,Ready,,No,No,,,,,,
Even more (1),,Idea,,No,No,,,,,,
Coming back is the hardest part (1),,Idea,,No,No,,,,,,
Don’t confuse tools with presence. (1),,Idea,,No,No,,,,,,
Not everything that breaks you is trauma. Some things are supposed to (1),,Idea,,No,No,,,,,,
,,Idea,,No,No,,,,,,
More (1),,Idea,,No,No,,,,,,
I don’t want to be helped. I want to be met. (1),,Idea,,No,No,,,,,,
Multiple Ideas (1),,Idea,,No,No,,,,,,
,,Idea,,No,No,,,,,,
The Myth of “Integration” & Awakening as Ego Death (Not Upgrade) (1),,Idea,,No,No,,,,,,
Some of us flinch when we shine. (1),,Idea,,No,No,,,,,,
,,Idea,,No,No,,,,,,
You don’t get to meet God without meeting the parts of you that begged to forget. (1),,Idea,,No,No,,,,,,
Healing doesn’t ask you to rise. It asks you to fall without defense. (1),,Idea,,No,No,,,,,,
The Sacred Collapse And 2 Others (1),,Idea,,No,No,,,,,,
A Prayer for the Ones Who Came Before Me (1),,Idea,,No,No,,,,,,
"If you still want to be good, you’re not free yet (1)",,Idea,,No,No,,,,,,
Ideas (1),,Idea,,No,No,,,,,,
Grieving the Old Self That Still Wants to Live,,Draft,,No,No,,,,,,
EVERYDAY JUDGMENTS,,Idea,,No,No,,,,,,
THE SACRED ART OF JUDGING,Carousel,Idea,,No,No,,,,,,
THE SACRED ART OF JUDGING (2025 VISION),Carousel,Idea,,No,No,,,,,,
We live in a world that has forgotten its own roots.,Image,Idea,,No,No,,,,,,
What Can We Do?,Story,Idea,,No,No,,,,,,
What Everyday Life Looks Like (When You’re Not Awake Yet),Story,Idea,,No,No,,,,,,
“And You Should Already Be There”,Story,Idea,,No,No,,,,,,
